ORF	SD	ABS
YDR053W	0.403	0.37
YDR054C	0.405	0.311
YDR055W	0.982	0.793
YDR056C	0.29	0.222
YDR057W	0.424	0.332
YDR058C	0.834	0.722
YDR059C	0.986	0.815
YDR060W	0.819	0.79
YDR061W	0.523	0.353
YDR062W	0.564	0.436
YDR063W	0.535	0.395
YDR064W	1.121	0.928
YDR065W	0.406	0.323
YDR066C	0.396	0.319
YDR067C	0.435	0.362
YDR068W	0.478	0.405
YDR069C	0.653	0.53
YDR070C	1.676	1.476
YDR071C	0.717	0.497
YDR072C	0.523	0.417
YDR073W	0.415	0.316
YDR074W	1.528	1.457
YDR075W	0.627	0.508
YDR076W	0.623	0.48
YDR077W	1.189	1.089
YDR078C	0.548	0.41
YDR079W	0.516	0.455
YDR080W	0.422	0.264
YDR081C	0.461	0.374
YDR082W	0.496	0.372
YDR083W	1.083	1.003
YDR084C	0.421	0.318
YDR085C	1.113	0.972
YDR086C	0.645	0.482
YDR087C	1.148	0.964
YDR088C	0.428	0.341
YDR089W	0.578	0.449
YDR090C	0.565	0.424
YDR091C	1.068	0.962
YDR092W	0.393	0.354
YDR093W	0.314	0.299
YDR094W	0.78	0.494
YDR095C	0.387	0.453
YDR096W	1.128	0.836
YDR097C	0.661	0.621
YDR098C	0.657	0.443
YDR099W	0.465	0.43
YDR100W	0.504	0.41
YDR101C	1.318	1.198
YDR102C	0.437	0.398
YDR103W	0.422	0.297
YDR104C	0.365	0.289
YDR105C	0.54	0.426
YDR106W	0.498	0.436
YDR107C	0.433	0.343
YDR108W	0.338	0.237
YDR109C	0.464	0.35
YDR110W	0.46	0.406
YDR111C	1.045	0.698
YDR112W	0.924	0.67
YDR113C	0.486	0.408
YDR114C	0.385	0.31
YDR115W	0.418	0.321
YDR116C	0.46	0.352
YDR117C	0.48	0.374
YDR118W	0.391	0.261
YDR119W	0.67	0.617
YDR120C	0.999	0.899
YDR121W	0.538	0.473
YDR122W	0.64	0.557
YDR123C	0.538	0.397
YDR124W	0.587	0.458
YDR125C	0.629	0.49
YDR126W	0.495	0.397
YDR127W	0.594	0.436
YDR128W	0.364	0.269
YDR129C	0.586	0.485
YDR130C	0.527	0.37
YDR131C	0.567	0.458
YDR132C	0.871	0.602
YDR133C	0.843	0.647
YDR134C	0.656	0.492
YDR135C	0.421	0.36
YDR136C	0.527	0.441
YDR137W	0.388	0.317
YDR138W	0.454	0.327
YDR139C	0.456	0.322
YDR140W	0.324	0.234
YDR141C	0.385	0.308
YDR142C	0.505	0.35
YDR143C	0.41	0.36
YDR144C	0.964	0.828
YDR145W	0.341	0.28
YDR146C	0.663	0.523
YDR147W	0.506	0.392
YDR148C	0.969	0.736
YDR149C	0.992	0.793
YDR150W	0.467	0.359
YDR151C	0.448	0.347
YDR152W	0.559	0.532
YDR153C	0.461	0.343
YDR154C	0.636	0.539
YDR155C	0.586	0.507
YDR156W	0.582	0.477
YDR157W	0.578	0.676
YDR158W	0.936	0.605
YDR159W	0.577	0.383
YDR160W	0.523	0.354
YDR161W	1.067	0.983
YDR162C	0.461	0.358
YDR163W	0.434	0.325
YDR164C	0.42	0.3
YDR165W	1.08	0.924
YDR166C	0.496	0.324
YDR167W	0.44	0.338
YDR168W	0.455	0.498
YDR169C	0.551	0.493
YDR170C	0.634	0.437
YDR171W	2.142	1.937
YDR172W	0.696	0.559
YDR173C	0.555	0.389
YDR174W	0.583	0.43
YDR175C	0.489	0.382
YDR176W	0.405	0.307
YDR177W	0.465	0.398
YDR178W	1.208	0.962
YDR179C	0.657	0.479
YDR179W-A	0.558	0.395
YDR180W	0.726	0.376
YDR181C	0.44	0.327
YDR182W	0.534	0.354
YDR183W	0.543	0.403
YDR184C	1.051	0.851
YDR185C	0.534	0.462
YDR186C	0.61	0.535
YDR187C	0.409	0.345
YDR188W	0.419	0.329
YDR189W	0.476	0.344
YDR190C	0.573	0.444
YDR191W	0.442	0.347
YDR192C	0.338	0.265
YDR193W	0.45	0.356
YDR194C	0.538	0.418
YDR195W	0.471	0.354
YDR196C	0.524	0.47
YDR197W	0.476	0.362
YDR198C	0.46	0.347
YDR199W	0.419	0.351
YDR200C	0.392	0.326
YDR201W	0.371	0.294
YDR202C	0.63	0.577
YDR203W	0.573	0.474
YDR204W	0.908	0.772
YDR205W	0.318	0.247
YDR206W	0.597	0.415
YDR207C	0.316	0.215
YDR208W	0.373	0.303
YDR209C	1.033	0.668
YDR210W	0.742	0.52
YDR211W	0.727	0.586
YDR212W	0.641	0.462
YDR213W	0.529	0.378
YDR214W	1.189	0.914
YDR215C	0.601	0.519
YDR216W	0.678	0.504
YDR217C	0.576	0.407
YDR218C	0.747	0.57
YDR219C	0.626	0.412
YDR220C	0.556	0.456
YDR221W	0.421	0.305
YDR222W	0.661	0.515
YDR223W	0.979	0.64
YDR224C	0.645	0.519
YDR225W	0.734	0.637
YDR226W	0.881	0.541
YDR227W	0.351	0.29
YDR228C	0.336	0.254
YDR229W	0.435	0.344
YDR230W	0.883	0.733
YDR231C	0.818	0.655
YDR232W	0.651	0.5
YDR233C	0.649	0.477
YDR234W	1.034	0.775
YDR235W	0.376	0.289
YDR236C	0.499	0.338
YDR237W	0.552	0.385
YDR238C	0.525	0.377
YDR239C	0.314	0.278
YDR240C	0.53	0.386
YDR241W	0.562	0.358
YDR242W	0.628	0.396
YDR243C	0.486	0.324
YDR244W	0.471	0.411
YDR245W	0.694	0.57
YDR246W	0.447	0.352
YDR247W	1.147	0.811
YDR248C	0.7	0.638
YDR249C	0.374	0.312
YDR250C	0.666	0.48
YDR251W	0.504	0.402
YDR252W	0.394	0.274
YDR253C	0.711	0.42
YDR254W	0.756	0.632
YDR255C	0.75	0.613
YDR256C	1.467	0.792
YDR257C	0.614	0.398
YDR258C	1.743	1.453
YDR259C	0.646	0.491
YDR260C	0.41	0.309
YDR261C	0.75	0.518
YDR262W	1.066	0.675
YDR263C	0.6	0.429
YDR264C	0.35	0.282
YDR265W	0.415	0.308
YDR266C	0.655	0.412
YDR267C	0.478	0.38
YDR268W	0.496	0.372
YDR269C	0.583	0.447
YDR270W	0.61	0.487
YDR271C	0.511	0.419
YDR272W	0.718	0.754
YDR273W	0.752	0.497
YDR274C	0.487	0.422
YDR275W	0.973	0.619
YDR276C	0.564	0.536
YDR277C	1.267	0.964
YDR278C	0.651	0.438
YDR279W	0.569	0.441
YDR280W	0.699	0.542
YDR281C	1.03	0.824
YDR282C	0.588	0.497
YDR283C	0.424	0.321
YDR284C	0.512	0.455
YDR285W	0.579	0.433
YDR286C	0.546	0.481
YDR287W	0.677	0.574
YDR288W	0.45	0.373
YDR289C	0.398	0.332
YDR290W	0.492	0.377
YDR291W	0.368	0.254
YDR292C	0.625	0.403
YDR293C	0.606	0.512
YDR294C	0.453	0.387
YDR295C	0.537	0.366
YDR296W	0.354	0.285
YDR297W	0.641	0.564
YDR298C	0.778	0.546
YDR299W	1.285	1.035
YDR300C	0.881	0.719
YDR301W	0.487	0.371
YDR302W	0.388	0.334
YDR303C	0.707	0.426
YDR304C	0.596	0.434
YDR305C	0.459	0.325
YDR306C	0.575	0.521
YDR307W	0.461	0.36
YDR308C	0.364	0.27
YDR309C	0.967	0.661
YDR310C	0.435	0.361
YDR311W	0.379	0.275
YDR312W	1.011	0.845
YDR313C	0.979	0.623
YDR314C	0.641	0.507
YDR315C	0.494	0.394
YDR316W	0.478	0.395
YDR317W	0.518	0.394
YDR318W	0.359	0.297
YDR319C	0.453	0.394
YDR320C	0.457	0.321
YDR321W	1.124	1.003
YDR322W	0.439	0.351
YDR323C	0.534	0.395
YDR324C	1.08	0.983
YDR325W	0.529	0.411
YDR326C	0.579	0.487
YDR327W	0.444	0.317
YDR328C	0.432	0.357
YDR329C	0.662	0.433
YDR330W	0.684	0.634
YDR331W	0.47	0.433
YDR332W	0.42	0.31
YDR333C	0.362	0.3
YDR334W	0.54	0.42
YDR335W	0.388	0.3
YDR336W	0.407	0.31
YDR337W	0.381	0.291
YDR338C	0.648	0.454
YDR339C	0.661	0.535
YDR340W	0.437	0.33
YDR341C	0.927	0.776
YDR342C	1.483	1.208
YDR343C	1.441	1.134
YDR344C	0.541	0.449
YDR345C	0.803	0.637
YDR346C	0.743	0.584
YDR347W	0.368	0.283
YDR348C	0.429	0.32
YDR349C	0.478	0.372
YDR350C	0.479	0.437
YDR351W	0.371	0.279
YDR352W	0.403	0.313
YDR353W	1.06	0.715
YDR354W	0.521	0.404
YDR355C	0.431	0.441
YDR356W	0.397	0.323
YDR357C	0.479	0.427
YDR358W	0.991	0.92
YDR359C	0.359	0.285
YDR360W	0.377	0.311
YDR361C	1.053	0.902
YDR362C	0.346	0.287
YDR363W	0.348	0.273
YDR364C	0.396	0.292
YDR365C	1.009	0.906
YDR366C	0.566	0.412
YDR367W	0.494	0.372
YDR368W	0.62	0.614
YDR369C	0.443	0.372
YDR370C	0.54	0.434
YDR371W	0.481	0.36
YDR372C	0.525	0.407
YDR373W	0.39	0.339
YDR374C	0.788	0.51
YDR375C	0.433	0.345
YDR376W	0.394	0.301
YDR377W	0.714	0.55
YDR378C	0.378	0.302
YDR379W	0.466	0.375
YDR380W	1.671	1.264
YDR381W	0.526	0.418
YDR382W	1.203	0.996
YDR383C	0.458	0.365
YDR384C	0.905	0.743
YDR385W	1.03	0.86
YDR386W	0.494	0.364
YDR387C	0.475	0.396
YDR388W	0.54	0.429
YDR389W	0.343	0.277
YDR390C	0.441	0.305
YDR391C	0.869	0.794
YDR392W	0.454	0.353
YDR393W	0.428	0.322
YDR394W	0.511	0.441
YDR395W	0.834	0.717
YDR396W	0.487	0.389
YDR397C	0.508	0.417
YDR398W	1.244	1.119
YDR399W	1.383	1.153
YDR400W	0.669	0.506
YDR401W	0.494	0.487
YDR402C	0.604	0.438
YDR403W	0.595	0.469
YDR404C	0.417	0.317
YDR405W	0.438	0.34
YDR406W	0.666	0.483
YDR407C	0.75	0.518
YDR408C	0.797	0.522
YDR409W	0.384	0.298
YDR410C	0.424	0.325
YDR411C	0.461	0.376
YDR412W	0.903	0.8
YDR413C	0.866	0.809
YDR414C	0.583	0.515
YDR415C	0.35	0.258
YDR416W	0.41	0.31
YDR417C	1.229	1.002
YDR418W	1.348	1.078
YDR419W	0.47	0.335
YDR420W	0.439	0.326
YDR421W	0.581	0.436
YDR422C	0.398	0.309
YDR423C	0.543	0.457
YDR424C	0.66	0.416
YDR425W	0.623	0.496
YDR426C	0.581	0.508
YDR427W	0.598	0.419
YDR428C	0.37	0.294
YDR429C	0.857	0.742
YDR430C	1.292	1.026
YDR431W	0.539	0.441
YDR432W	0.773	0.574
YDR433W	0.794	0.614
YDR434W	1.261	0.963
YDR435C	0.595	0.48
YDR436W	0.722	0.595
YDR437W	0.461	0.381
YDR438W	0.508	0.357
YDR439W	0.458	0.323
YDR440W	0.466	0.436
YDR441C	0.747	0.569
YDR442W	0.558	0.386
YDR443C	0.41	0.309
YDR444W	0.412	0.378
YDR445C	0.502	0.48
YDR446W	0.484	0.583
YDR447C	1.293	1.039
YDR448W	0.393	0.388
YDR449C	1.224	1.101
YDR450W	1.21	0.938
YDR451C	0.554	0.428
YDR452W	0.474	0.46
YDR453C	1.434	1.334
YDR454C	0.877	0.687
YDR455C	0.55	0.427
YDR456W	0.492	0.463
YDR457W	0.546	0.389
YDR458C	0.39	0.363
YDR459C	0.374	0.296
YDR460W	0.412	0.371
YDR461W	0.863	0.679
YDR462W	0.512	0.443
YDR463W	0.417	0.284
YDR464W	0.4	0.344
YDR465C	1.152	0.996
YDR466W	0.456	0.341
YDR467C	0.462	0.343
YDR468C	0.471	0.355
YDR469W	0.448	0.364
YDR470C	0.313	0.245
YDR471W	1.226	0.959
YDR472W	0.461	0.363
YDR473C	0.689	0.446
YDR474C	0.688	0.552
YDR475C	0.64	0.476
YDR476C	0.533	0.406
YDR477W	0.307	0.248
YDR478W	0.308	0.244
YDR479C	0.538	0.415
YDR480W	0.505	0.381
YDR481C	0.485	0.414
YDR482C	0.381	0.303
YDR483W	0.348	0.275
YDR484W	0.442	0.321
YDR485C	0.533	0.36
YDR486C	0.407	0.355
YDR487C	0.568	0.388
YDR488C	0.467	0.408
YDR489W	0.354	0.256
YDR490C	0.441	0.347
YDR491C	0.839	0.668
YDR492W	0.935	0.754
YDR493W	0.437	0.343
YDR494W	0.518	0.44
YDR495C	0.413	0.333
YDR496C	1.44	1.292
YDR497C	0.697	0.512
YDR498C	0.359	0.268
YDR499W	0.289	0.26
YDR500C	0.938	0.749
YDR501W	0.504	0.402
YDR502C	0.941	0.719
YDR503C	0.499	0.404
YDR504C	0.617	0.434
YDR505C	0.861	0.682
YDR506C	0.572	0.432
YDR507C	0.868	0.679
YDR508C	1.263	0.798
YDR509W	0.661	0.483
YDR510W	0.441	0.331
YDR511W	0.594	0.485
YDR512C	0.703	0.643
YDR513W	1.122	1.135
YDR514C	0.431	0.356
YDR515W	0.565	0.428
YDR516C	1.299	1.098
YDR517W	0.436	0.355
YDR518W	0.749	0.514
YDR519W	0.544	0.41
YDR520C	0.624	0.366
YDR521W	0.355	0.347
YDR522C	0.423	0.383
YDR523C	0.641	0.652
YDR524C	0.524	0.382
YDR525W	0.503	0.582
YDR526C	0.55	0.447
YDR527W	0.539	0.489
YDR528W	0.641	0.497
YDR529C	0.952	0.725
YDR530C	0.809	0.632
YDR531W	0.531	0.37
YDR532C	0.575	0.418
YDR533C	1.711	1.49
YDR534C	0.871	0.647
YDR535C	0.846	0.695
YDR536W	1.537	0.971
YDR537C	0.487	0.399
YDR538W	0.413	0.344
YDR539W	0.587	0.441
YDR540C	0.557	0.425
YDR541C	0.558	0.414
YDR542W	0.551	0.403
YDR543C	0.578	0.443
YDR544C	0.55	0.41
YDR545W	0.432	0.32
YEL001C	0.711	0.538
YEL002C	0.545	0.388
YEL003W	0.461	0.359
YEL004W	0.35	0.277
YEL005C	0.66	0.605
YEL006W	0.458	0.321
YEL007W	0.442	0.351
YEL008W	0.444	0.41
YEL009C	0.622	0.535
YEL010W	0.536	0.407
YEL011W	1.735	1.566
YEL012W	1.238	1.109
YEL013W	0.533	0.451
YEL014C	0.443	0.364
YEL015W	0.451	0.346
YEL016C	0.385	0.292
YEL017C-A	0.518	0.384
YEL017W	0.415	0.325
YEL018W	0.357	0.268
YEL019C	0.393	0.351
YEL020C	0.588	0.468
YEL021W	0.672	0.595
YEL022W	0.594	0.436
YEL023C	0.596	0.39
YEL024W	1.155	0.923
YEL025C	0.43	0.327
YEL026W	1.226	1.041
YEL027W	0.518	0.382
YEL028W	0.501	0.351
YEL029C	0.418	0.313
YEL030W	0.686	0.504
YEL031W	0.495	0.384
YEL032W	0.477	0.38
YEL033W	0.574	0.453
YEL034W	0.605	0.457
YEL035C	0.577	0.452
YEL036C	0.346	0.278
YEL037C	0.479	0.362
YEL038W	0.4	0.315
YEL039C	1.087	0.944
YEL040W	1.498	1.171
YEL041W	0.89	0.719
YEL042W	0.935	0.743
YEL043W	0.413	0.355
YEL044W	0.67	0.375
YEL045C	0.456	0.438
YEL046C	0.809	0.653
YEL047C	0.485	0.374
YEL048C	0.66	0.517
YEL049W	0.661	0.453
YEL050C	0.511	0.42
YEL051W	0.703	0.499
YEL052W	0.577	0.415
YEL053C	0.716	0.541
YEL054C	1.327	1.071
YEL055C	0.83	0.735
YEL056W	0.424	0.326
YEL057C	0.647	0.421
YEL058W	0.557	0.413
YEL059C-A	0.784	0.525
YEL059W	0.569	0.398
YEL060C	1.224	1.085
YEL061C	0.664	0.484
YEL062W	0.61	0.399
YEL063C	0.733	0.474
YEL064C	0.654	0.424
YEL065W	0.951	0.781
YEL066W	0.582	0.45
YEL067C	0.46	0.337
YEL068C	0.416	0.307
YEL069C	0.67	0.495
YEL070W	0.662	0.493
YEL071W	1.245	0.949
YEL072W	0.869	0.572
YEL073C	0.694	0.528
YEL074W	0.624	0.443
YEL075C	0.534	0.417
YEL076C	0.666	0.48
YEL076C-A	0.637	0.489
YEL076W-C	1.43	1.028
YEL077C	0.663	0.403
YER001W	0.821	0.549
YER002W	0.61	0.548
YER003C	0.791	0.56
YER004W	0.617	0.479
YER005W	0.37	0.29
YER006W	1.157	1.088
YER007C-A	0.593	0.433
YER007W	0.396	0.295
YER008C	0.441	0.357
YER009W	0.721	0.499
YER010C	0.377	0.301
YER011W	0.67	0.56
YER012W	0.615	0.465
YER013W	0.285	0.221
YER014W	0.617	0.434
YER015W	1.146	0.712
YER016W	0.445	0.355
YER017C	0.441	0.292
YER018C	0.573	0.492
YER019C-A	0.464	0.347
YER019W	0.367	0.341
YER020W	0.898	0.756
YER021W	0.47	0.392
YER022W	0.451	0.344
YER023W	0.65	0.41
YER024W	1.256	0.837
YER025W	0.951	0.81
YER026C	0.612	0.577
YER027C	0.384	0.308
YER028C	0.623	0.487
YER029C	0.461	0.368
YER030W	0.511	0.428
YER031C	0.516	0.38
YER032W	0.501	0.395
YER033C	0.761	0.643
YER034W	0.374	0.3
YER035W	0.861	0.735
YER036C	0.932	0.825
YER037W	1.204	1.107
YER038C	0.795	0.754
YER039C	0.838	0.606
YER040W	0.436	0.335
YER041W	0.618	0.414
YER042W	0.59	0.446
YER043C	1.275	0.997
YER044C	0.597	0.464
YER044C-A	0.605	0.46
YER045C	0.738	0.458
YER046W	0.669	0.423
YER047C	0.476	0.357
YER048C	0.411	0.342
YER049W	1.069	0.869
YER050C	0.417	0.391
YER051W	0.391	0.314
YER052C	0.955	0.645
YER053C	1.425	1.361
YER054C	1.278	0.867
YER055C	1.068	0.835
YER056C	1.045	0.825
YER056C-A	1.164	0.905
YER057C	0.521	0.421
YER058W	0.701	0.598
YER059W	0.497	0.385
YER060W	0.532	0.413
YER060W-A	0.541	0.397
YER061C	0.678	0.537
YER062C	1.199	0.919
YER063W	0.415	0.326
YER064C	0.835	0.561
YER065C	1.421	0.887
YER066C-A	1.606	1.331
YER066W	0.461	0.329
YER067W	2.223	1.861
YER068W	0.322	0.259
YER069W	0.911	0.609
YER070W	1.238	0.999
YER071C	0.423	0.293
YER072W	0.614	0.478
YER073W	0.795	0.614
YER074W	1.236	0.985
YER075C	0.563	0.426
YER076C	0.468	0.34
YER077C	0.379	0.296
YER078C	0.411	0.315
YER079W	1.305	1.227
YER080W	0.499	0.397
YER081W	0.909	0.583
YER082C	0.868	0.796
YER083C	0.38	0.306
YER084W	0.951	0.684
YER085C	0.486	0.5
YER086W	1.068	0.801
YER087C-A	0.612	0.494
YER087W	0.57	0.456
YER088C	0.827	0.627
YER089C	0.488	0.374
YER090W	0.846	0.556
YER091C	1.2	0.969
YER092W	0.401	0.297
YER093C	0.329	0.247
YER093C-A	0.499	0.403
YER094C	0.514	0.402
YER095W	0.643	0.499
YER096W	1.06	0.762
YER097W	0.567	0.416
YER098W	0.691	0.535
YER099C	0.386	0.302
YER100W	0.421	0.315
YER101C	0.805	0.564
YER102W	1.26	0.982
YER103W	1.976	1.406
YER104W	0.481	0.366
YER105C	0.557	0.397
YER106W	0.616	0.611
YER107C	0.446	0.34
YER109C	0.327	0.284
YER110C	1.37	1.273
YER111C	0.466	0.346
YER112W	0.46	0.351
YER113C	0.411	0.328
YER114C	0.424	0.366
YER115C	0.559	0.394
YER116C	0.741	0.463
YER117W	1.165	0.909
YER118C	0.651	0.554
YER119C	0.822	0.722
YER119C-A	0.417	0.371
YER120W	0.439	0.387
YER121W	1.011	0.69
YER122C	0.513	0.354
YER123W	0.412	0.301
YER124C	0.962	0.631
YER125W	0.452	0.346
YER126C	1.247	1.014
YER127W	1.0	0.855
YER128W	0.388	0.324
YER129W	0.477	0.361
YER130C	0.597	0.465
YER131W	1.244	0.946
YER132C	0.4	0.361
YER133W	0.351	0.327
YER134C	0.352	0.27
YER135C	0.685	0.44
YER136W	0.416	0.354
YER137C	0.461	0.342
YER138C	0.761	0.489
YER139C	0.613	0.456
YER140W	0.395	0.324
YER141W	0.808	0.74
YER142C	0.835	0.794
YER143W	0.61	0.508
YER144C	0.41	0.324
YER145C	0.898	0.702
YER146W	0.543	0.494
YER147C	0.408	0.335
YER148W	0.547	0.429
YER149C	0.429	0.361
YER150W	2.145	1.907
YER151C	0.527	0.335
YER152C	0.513	0.403
YER153C	0.504	0.411
YER154W	0.344	0.269
YER155C	0.488	0.385
YER156C	0.916	0.773
YER157W	0.426	0.288
YER158C	0.956	0.778
YER159C	0.553	0.419
YER160C	0.808	0.504
YER161C	0.342	0.264
YER162C	0.9	0.627
YER163C	0.651	0.557
YER164W	0.509	0.405
YER165W	0.884	0.753
YER166W	0.343	0.291
YER167W	0.449	0.322
YER168C	0.55	0.409
YER169W	0.625	0.486
YER170W	0.434	0.33
YER171W	0.401	0.329
YER172C	0.459	0.329
YER173W	0.372	0.292
YER174C	0.454	0.354
YER175C	0.797	0.669
YER176W	0.356	0.321
YER177W	0.669	0.523
YER178W	0.598	0.443
YER179W	0.768	0.551
YER180C	0.478	0.353
YER181C	0.701	0.485
YER182W	0.724	0.628
YER183C	0.589	0.401
YER184C	0.447	0.357
YER185W	0.675	0.532
YER186C	0.451	0.35
YER187W	0.631	0.498
YER188W	0.92	0.64
YER189W	0.588	0.441
YER190W	0.511	0.394
YFL001W	0.491	0.406
YFL002C	0.711	0.661
YFL003C	0.501	0.388
YFL004W	0.622	0.518
YFL005W	0.338	0.295
YFL006W	0.466	0.35
YFL007W	0.439	0.338
YFL008W	0.526	0.461
YFL009W	0.361	0.284
YFL010C	0.566	0.456
YFL011W	0.847	0.657
YFL012W	0.526	0.462
YFL013C	0.481	0.353
YFL013W-A	1.175	0.866
YFL014W	3.35	3.363
YFL015C	0.515	0.409
YFL016C	0.911	0.744
YFL017C	0.404	0.319
YFL018C	0.702	0.581
YFL019C	0.487	0.351
YFL020C	0.502	0.399
YFL021W	0.846	0.633
YFL022C	0.697	0.551
YFL023W	0.781	0.689
YFL024C	0.406	0.277
YFL025C	0.413	0.325
YFL026W	1.035	0.703
YFL027C	0.51	0.399
YFL028C	0.504	0.358
YFL029C	0.485	0.357
YFL030W	1.48	1.003
YFL031W	0.659	0.47
YFL032W	0.522	0.379
YFL033C	0.39	0.292
YFL034W	0.326	0.254
YFL036W	0.505	0.416
YFL037W	0.801	0.535
YFL038C	0.405	0.383
YFL039C	0.643	0.394
YFL040W	0.596	0.471
YFL041W	0.461	0.352
YFL042C	0.945	0.789
YFL043C	0.88	0.656
YFL044C	0.685	0.596
YFL045C	0.956	0.765
YFL046W	0.312	0.243
YFL047W	0.345	0.277
YFL048C	0.369	0.305
YFL049W	0.409	0.273
YFL050C	0.549	0.397
YFL051C	0.949	0.703
YFL052W	1.086	0.837
YFL053W	0.953	0.705
YFL054C	1.117	0.814
YFL055W	0.939	0.665
YFL056C	1.048	0.787
YFL057C	0.784	0.556
YFL058W	0.825	0.631
YFL059W	0.821	0.624
YFL060C	0.62	0.476
YFL061W	0.686	0.523
YFL062W	0.559	0.545
YFL063W	0.519	0.406
YFL064C	0.544	0.406
YFL065C	0.527	0.402
YFL066C	0.701	0.502
YFL067W	0.517	0.37
YFL068W	0.63	0.457
YFR001W	0.947	0.838
YFR002W	0.746	0.388
YFR003C	0.628	0.516
YFR004W	0.444	0.423
YFR005C	0.562	0.483
YFR006W	0.371	0.287
YFR007W	0.448	0.336
YFR008W	0.396	0.305
YFR009W	0.932	0.596
YFR010W	0.709	0.496
YFR011C	0.699	0.51
YFR012W	0.45	0.382
YFR013W	0.455	0.34
YFR014C	0.85	0.708
YFR015C	1.528	1.181
YFR016C	0.719	0.503
YFR017C	1.415	1.087
YFR018C	0.494	0.421
YFR019W	0.528	0.346
YFR020W	0.439	0.346
YFR021W	0.497	0.378
YFR022W	0.923	0.605
YFR023W	0.594	0.467
YFR024C	0.573	0.44
YFR024C-A	0.544	0.402
YFR025C	0.519	0.363
YFR026C	0.758	0.497
YFR027W	0.734	0.436
YFR028C	0.635	0.45
YFR029W	0.617	0.41
YFR030W	0.952	0.573
YFR031C	0.517	0.396
YFR031C-A	1.411	1.158
YFR032C	0.752	0.665
YFR033C	0.865	0.665
YFR034C	0.603	0.506
YFR035C	0.465	0.368
YFR036W	0.658	0.498
YFR037C	0.643	0.517
YFR038W	0.605	0.486
YFR039C	0.422	0.315
YFR040W	0.47	0.394
YFR041C	0.468	0.446
YFR042W	0.637	0.529
YFR043C	0.57	0.424
YFR044C	0.796	0.539
YFR045W	0.576	0.508
YFR046C	0.497	0.373
YFR047C	0.624	0.615
YFR048W	0.529	0.321
YFR049W	0.708	0.658
YFR050C	0.529	0.422
YFR051C	0.448	0.355
YFR052W	0.587	0.508
YFR053C	1.845	1.744
YFR054C	0.497	0.425
YFR055W	0.78	0.603
YFR056C	0.508	0.472
YFR057W	0.633	0.494
YGL001C	0.643	0.431
YGL002W	0.451	0.361
YGL003C	0.544	0.378
YGL004C	0.485	0.418
YGL005C	0.524	0.399
YGL006W	0.654	0.629
YGL007W	0.667	0.49
YGL008C	1.221	0.855
YGL009C	0.711	0.495
YGL010W	0.748	0.625
YGL011C	0.463	0.415
YGL012W	0.896	0.575
YGL013C	0.423	0.342
YGL014W	0.643	0.545
YGL015C	0.533	0.553
YGL016W	0.826	0.68
YGL017W	0.425	0.331
YGL018C	0.388	0.313
YGL019W	0.415	0.325
YGL020C	0.481	0.321
YGL021W	0.828	0.636
YGL022W	0.671	0.463
YGL023C	0.455	0.355
YGL024W	0.406	0.322
YGL025C	0.281	0.218
YGL026C	0.804	0.549
YGL027C	0.654	0.402
YGL028C	0.872	0.656
YGL029W	1.229	1.147
YGL030W	1.099	0.917
YGL031C	1.271	0.984
YGL032C	0.81	0.612
YGL033W	0.65	0.603
YGL034C	0.53	0.445
YGL035C	0.586	0.44
YGL036W	0.515	0.441
YGL037C	1.675	1.674
YGL038C	0.545	0.415
YGL039W	0.857	0.608
YGL040C	0.44	0.322
YGL041C	0.491	0.332
YGL042C	0.362	0.282
YGL043W	0.395	0.325
YGL044C	0.404	0.308
YGL045W	0.865	0.661
YGL046W	0.724	0.568
YGL047W	0.786	0.626
YGL048C	0.448	0.424
YGL049C	0.525	0.375
YGL050W	0.398	0.31
YGL051W	0.396	0.306
YGL052W	0.417	0.307
YGL053W	0.56	0.499
YGL054C	0.356	0.27
YGL055W	1.393	1.092
YGL056C	0.602	0.438
YGL057C	0.373	0.285
YGL058W	0.38	0.314
YGL059W	0.866	0.757
YGL060W	0.454	0.321
YGL061C	0.458	0.383
YGL062W	1.098	0.941
YGL063W	0.413	0.38
YGL064C	0.451	0.313
YGL065C	0.423	0.283
YGL066W	0.415	0.3
YGL067W	0.54	0.384
YGL068W	0.526	0.394
YGL069C	0.54	0.395
YGL070C	0.56	0.454
YGL071W	0.517	0.351
YGL072C	0.728	0.506
YGL073W	0.467	0.361
YGL074C	0.477	0.364
YGL075C	0.516	0.415
YGL076C	1.231	1.006
YGL077C	0.797	0.605
YGL078C	1.353	1.206
YGL079W	0.388	0.329
YGL080W	0.414	0.411
YGL081W	0.731	0.618
YGL082W	0.409	0.426
YGL083W	0.391	0.314
YGL084C	0.538	0.465
YGL085W	0.322	0.25
YGL086W	0.498	0.32
YGL087C	0.568	0.569
YGL088W	0.599	0.436
YGL089C	0.408	0.307
YGL090W	0.462	0.367
YGL091C	0.464	0.355
YGL092W	0.573	0.445
YGL093W	0.475	0.376
YGL094C	0.405	0.301
YGL095C	0.463	0.346
YGL096W	1.048	0.876
YGL097W	0.678	0.597
YGL098W	0.465	0.402
YGL099W	1.055	0.961
YGL100W	0.385	0.293
YGL101W	0.78	0.619
YGL102C	1.018	0.817
YGL103W	1.013	0.807
YGL104C	0.804	0.719
YGL105W	0.721	0.477
YGL106W	0.583	0.434
YGL107C	0.505	0.323
YGL108C	0.44	0.374
YGL109W	0.514	0.387
YGL110C	0.354	0.246
